collaped_address,num_associated,latitude,longitude
100 SUFI CRS,3,43.61593765,-79.321369
500 SUNNYSIDE AVE,8,43.61593765,-79.321369
100 SILVERSTONE,3,43.61593765,-79.321369
1600 BLOOR ST. W.,1,43.61593765,-79.321369
100 CARLTONS T,1,43.61593765,-79.321369
100 REPLIH RD,2,43.61593765,-79.321369
900 MT PLEASANT DR,1,43.61593765,-79.321369
200 JOSEHP DUGGAN RD,1,43.61593765,-79.321369
100 PELHAM PK GNDS,1,43.61593765,-79.321369
100B WALTER ST,1,43.61593765,-79.321369
100  GLAZEBROOK AVE,2,43.61593765,-79.321369
!100 GLENDALE AVE,1,43.61593765,-79.321369
1200 ROYAL ORK RD,1,43.61593765,-79.321369
100 SHORHAM CT.,1,43.61593765,-79.321369
MORNINGSIDE PK 400 MORNINGSIDE AVE,1,43.61593765,-79.321369
1700 FALLINGBROOK RD,1,43.61593765,-79.321369
300-300 FROT YORK BLVD,1,43.61593765,-79.321369
600 BAYVIEW AVE NORTH,1,43.61593765,-79.321369
AT 2500 WESTON ROAD,2,43.61593765,-79.321369
100 SUNSET TRL,53,43.61593765,-79.321369
800 VICTORIA AVE,1,43.61593765,-79.321369
500 WARDEN AV,1,43.61593765,-79.321369
700 KENNEY RD,1,43.61593765,-79.321369
300l ELM ST,1,43.61593765,-79.321369
1200 DUNDAS STR WEST,1,43.61593765,-79.321369
100 ARTECH CRT,15,43.61593765,-79.321369
100 GOLFDALE RD,56,43.61593765,-79.321369
200t DANFORTH AVE,1,43.61593765,-79.321369
300 MILLICENT ST,2,43.61593765,-79.321369
3700 ADELAIDE ST W,2,43.61593765,-79.321369
100 CASEBRIDGE CRT,9,43.61593765,-79.321369
400 VANCOUVER AVE,1,43.61593765,-79.321369
19300 WESTON RD,1,43.61593765,-79.321369
2300 KENENDYR D,1,43.61593765,-79.321369
8000 DUNDAS ST W,1,43.61593765,-79.321369
100 ALLARD AV,1,43.61593765,-79.321369
100 ALBACORE CRES,31,43.61593765,-79.321369
200 FAYWOOD BLVD,14,43.61593765,-79.321369
700 CITY VIEW DR,1,43.61593765,-79.321369
300a HURNDALE AVE,1,43.61593765,-79.321369
4000 DRIFTWOOD AVE,1,43.61593765,-79.321369
400 MCOWAN ROAD,1,43.61593765,-79.321369
2300 KENNEDY D,1,43.61593765,-79.321369
100 HEPBOURNE ST,76,43.61593765,-79.321369
"400 BATHURST ST, TORONTO",1,43.61593765,-79.321369
1200A WESTON RD,2,43.61593765,-79.321369
200 TROYER AVE,1,43.61593765,-79.321369
200 HILLTOP AE,1,43.61593765,-79.321369
100 GORDONRIDGE ST,1,43.61593765,-79.321369
100 PEGASUS TRL,50,43.61593765,-79.321369
100 WEST PALM CRT,1,43.61593765,-79.321369
1600 LAWREMCE AVE W,1,43.61593765,-79.321369
100 BOYBLEN ST,1,43.61593765,-79.321369
900 FOLLIS AVE,1,43.61593765,-79.321369
1400 ST. CLAIR AVE W,5,43.61593765,-79.321369
100 PERCY ST,6,43.61593765,-79.321369
200 BEELAMY RD N,1,43.61593765,-79.321369
1100 VICTORIA PARK AVE,27,43.61593765,-79.321369
700w QUEEN ST W,1,43.61593765,-79.321369
100 BELLWOODS PK,9,43.61593765,-79.321369
800 CLOSE AVE,1,43.61593765,-79.321369
100 DUNBLOOR ROAD,1,43.61593765,-79.321369
100 COL. SAMUEL,1,43.61593765,-79.321369
400 WILSON AV,1,43.61593765,-79.321369
600 MORTON RD,1,43.61593765,-79.321369
na100 WILLIAM CARSON CRES,1,43.61593765,-79.321369
4900a YONGE ST,3,43.61593765,-79.321369
700 CRAWFORD ST,94,43.61593765,-79.321369
500 MARTIN GROVE RD,6,43.61593765,-79.321369
3600 DUNDAS STREET WEST,1,43.61593765,-79.321369
100 ALLINGHAM GDNS,50,43.61593765,-79.321369
100 FENWICK AVE,64,43.61593765,-79.321369
300 ROSEMARY LANE,6,43.61593765,-79.321369
100 DEMPSEY CRES,10,43.61593765,-79.321369
100 REGINA AVE,77,43.61593765,-79.321369
100 BLOOR ST. E,1,43.61593765,-79.321369
100 ELMGROVE AV,4,43.61593765,-79.321369
100 RAMEAU DRIVE,1,43.61593765,-79.321369
100 SCOTSWOOD RD,12,43.61593765,-79.321369
300 CORINTHIAN BLVD,1,43.61593765,-79.321369
100 MARYPORT AVE,21,43.61593765,-79.321369
300 MORNING STAR DR,2,43.61593765,-79.321369
JANDA CT UNIT #100,2,43.61593765,-79.321369
1100 NEILSON RAOD,1,43.61593765,-79.321369
400 FISHER ST,1,43.61593765,-79.321369
100 JUDHAVEN RD,3,43.61593765,-79.321369
`100 FOXBAR RD,1,43.61593765,-79.321369
0 CLUNY DR,1,43.61593765,-79.321369
200' MARKHAM ST,1,43.61593765,-79.321369
100 MORELLE CRT,1,43.61593765,-79.321369
100 VALLEYWOODS ROAD,2,43.61593765,-79.321369
1900 MARTINGROVE,1,43.61593765,-79.321369
1300 MDLAND AV,1,43.61593765,-79.321369
700e YONGE ST,1,43.61593765,-79.321369
200 SPADINA ROAD,4,43.61593765,-79.321369
100 GLADSTONE VE,1,43.61593765,-79.321369
100 HART HOSE CIR,1,43.61593765,-79.321369
100 SHAWFIELD CRES,21,43.61593765,-79.321369
200 EDITH AVE,20,43.61593765,-79.321369
5200 GREENFIELD AVE,1,43.61593765,-79.321369
300 CARIBOU RD,4,43.61593765,-79.321369
3400 DALESFORD RD,1,43.61593765,-79.321369
