,Geo_Code,Population,Canadians,Percent Canadian,Median_Income,Geo_Code_String
54,5350528.36,8705,6705,77.02469845,19239,5350528.36
55,5350528.37,6665,5765,86.49662416,30195,5350528.37
56,5350573.09,5975,5200,87.0292887,28274,5350573.09
57,5350528.39,6820,6315,92.59530792,37963,5350528.39
58,5350528.40,6150,5600,91.05691057,33838,5350528.40
59,5350528.41,7805,6725,86.16271621,24680,5350528.41
60,5350528.42,5070,4440,87.5739645,22118,5350528.42
61,5350528.43,4335,3700,85.35178777,27850,5350528.43
62,5350412.18,8075,7810,96.71826625,34607,5350412.18
63,5350576.20,6875,5570,81.01818182,21958,5350576.20
64,5350576.22,7795,6425,82.42463117,25425,5350576.22
65,5350010.01,4580,4305,93.99563319,47081,5350010.01
66,5350010.02,6855,6360,92.77899344,39993,5350010.02
67,5350400.15,4730,4470,94.50317125,36061,5350400.15
68,5350400.16,5450,5155,94.58715596,30580,5350400.16
69,5350403.03,10130,9125,90.07897335,30189,5350403.03
70,5350403.04,4260,4015,94.24882629,24130,5350403.04
71,5350403.05,3405,3130,91.9236417,45269,5350403.05
72,5350403.07,7225,6430,88.99653979,22662,5350403.07
73,5350805.08,11450,10820,94.49781659,37556,5350805.08
74,5350805.09,5645,5390,95.48272808,31526,5350805.09
75,5350805.10,6520,6305,96.70245399,29775,5350805.10
76,5350805.12,6500,6115,94.07692308,34199,5350805.12
77,5350805.13,12010,11195,93.21398834,33767,5350805.13
78,5350631.02,4270,4160,97.42388759,43753,5350631.02
79,5350612.15,5760,5140,89.23611111,42896,5350612.15
80,5350001.00,605,555,91.73553719,25271,5350001.00
81,5350002.00,645,590,91.47286822,22506,5350002.00
82,5350004.00,6445,4820,74.78665632,21417,5350004.00
83,5350005.00,5220,4445,85.1532567,19452,5350005.00
84,5350008.00,9225,8205,88.94308943,43379,5350008.00
85,5350011.00,8510,7415,87.13278496,46079,5350011.00
86,5350013.00,10585,9125,86.20689655,41134,5350013.00
87,5350015.00,3330,2860,85.88588589,45170,5350015.00
88,5350016.00,5775,5250,90.90909091,45747,5350016.00
89,5350017.00,6855,6365,92.8519329,35328,5350017.00
90,5350018.00,1980,1930,97.47474747,36513,5350018.00
91,5350019.00,2905,2760,95.00860585,22080,5350019.00
92,5350020.00,2285,2185,95.62363239,59698,5350020.00
93,5350021.00,5080,4820,94.88188976,38799,5350021.00
94,5350022.00,3775,3525,93.37748344,39775,5350022.00
95,5350023.00,3300,3075,93.18181818,49892,5350023.00
96,5350024.00,6505,6025,92.62106072,39907,5350024.00
97,5350025.00,3300,3080,93.33333333,29947,5350025.00
